#{"t_start": 1689200626.451713, "env_id": "None"}
r,l,t
-9.999198,3,0.017989
-9.99443,3,0.021507
-9.992005,6,0.027503
-9.989447,5,0.033504
-14.989113,7,0.039543
-9.992416,3,0.042539
-9.992199,5,0.046541
-9.996077,4,0.051539
-9.98789,7,0.058563
-9.994493,4,0.063542
-9.995477,3,0.066538
-9.999152,3,0.069569
-9.996736,5,0.075599
-9.993425,5,0.080569
-9.990937,5,0.084568
-19.9952,6,0.089571
-9.987297,5,0.095567
-14.996222,4,0.099569
-9.999288,2,0.102602
-9.994432,4,0.109571
-9.996333,5,0.114571
-14.998565,3,0.118582
-9.998728,6,0.126568
-9.997789,3,0.12957
-9.995173,4,0.134568
-9.996868,5,0.140797
-9.996907,4,0.143796
-14.991466,5,0.148548
-9.991645,4,0.153557
-9.992884,3,0.157554
-24.997195,5,0.163067
-9.987048,7,0.171149
-14.995247,5,0.176149
1.726016,8,0.319233
-19.984179,6,0.324617
-9.991656,6,0.329585
-14.996244,5,0.333585
-9.999288,2,0.335585
-14.995435,6,0.341586
-9.999288,2,0.343585
-9.997013,4,0.345584
-14.994706,7,0.350585
-9.99692,3,0.352738
-14.988808,5,0.358563
-19.982491,8,0.364187
-9.995975,4,0.367187
-9.999288,2,0.368187
25.238408,8,0.474364
-14.988724,6,0.478374
-19.984711,8,0.484374
-9.988263,5,0.488632
-9.994337,3,0.491374
-9.994143,4,0.494375
-9.996757,4,0.497376
-9.994432,4,0.500347
-9.995217,3,0.503314
-14.992836,6,0.507316
-9.991155,3,0.5099
-9.992257,4,0.513868
-9.990273,6,0.517865
-19.996545,8,0.523751
-9.997723,4,0.526752
-14.99709,5,0.532887
-14.996561,5,0.536377
-9.985314,6,0.539925
-9.992074,4,0.543888
-19.985068,7,0.548886
-9.99468,4,0.55192
-9.998907,3,0.554888
-9.991189,4,0.557923
-14.986664,6,0.562885
-14.995283,4,0.564884
-9.990342,6,0.569664
-9.997609,3,0.571693
-9.993841,4,0.575691
-9.994668,4,0.578665
-9.992976,5,0.581665
-9.997177,4,0.584665
-14.996964,5,0.58865
-9.990625,4,0.592143
-9.995962,5,0.596144
-9.998599,4,0.598144
-14.997221,4,0.601144
-19.997254,7,0.607821
-9.987214,5,0.611767
-9.996383,4,0.613767
-14.996412,5,0.617767
-9.99728,3,0.62088
-9.991215,3,0.623796
-9.995226,4,0.625798
-14.997721,6,0.629791
-9.999229,3,0.631798
-14.997191,4,0.634798
-9.997726,5,0.640769
-9.997343,4,0.643767
-14.992997,4,0.646769
-9.992823,5,0.649769
-14.991032,5,0.657802
-14.992995,6,0.6658
-14.99677,4,0.67099
-9.997162,6,0.67591
-9.988539,4,0.678877
-9.982559,5,0.681908
-9.994796,4,0.686313
-9.990442,4,0.689046
-14.994811,5,0.692879
-9.99062,6,0.696879
-19.994368,7,0.702002
-9.993499,5,0.706
-14.99638,5,0.709063
-9.988372,5,0.713181
-19.990987,6,0.718096
-9.988474,5,0.722062
-9.991899,4,0.724095
-9.994886,3,0.727092
-9.995864,6,0.732168
-9.992838,4,0.734168
-9.99422,6,0.739509
-9.999288,2,0.740504
-19.997027,5,0.745502
-9.998097,4,0.74947
-9.990953,4,0.752503
-9.988722,4,0.756504
-14.992198,5,0.761508
-14.994562,5,0.765504
-14.99627,5,0.769469
-9.993805,4,0.773504
-9.998718,4,0.776479
-14.99382,6,0.78047
-9.999288,2,0.78247
-9.994572,3,0.78447
-9.993157,4,0.787369
-9.994859,4,0.791356
-14.998622,4,0.794355
-14.989965,5,0.798355
-9.99291,4,0.800355
-9.996061,5,0.804355
-14.996946,4,0.809324
-9.994653,4,0.812324
-14.996357,7,0.816324
-14.989089,6,0.821325
-14.994675,5,0.825328
-14.98783,7,0.830324
-9.994599,4,0.833324
-9.99131,3,0.835325
-9.987756,6,0.840717
-14.989691,5,0.844718
-9.994525,4,0.848231
-9.994533,5,0.852248
-9.99753,3,0.85625
-9.997317,4,0.859863
-9.997963,3,0.862868
-9.991628,6,0.86687
-9.993305,4,0.872547
-9.997078,6,0.875994
-9.997662,4,0.880039
-14.990905,4,0.882989
-9.994772,3,0.885971
-9.999069,3,0.889156
-9.998881,4,0.891774
-14.995337,5,0.895774
-9.997589,5,0.898773
-9.995317,3,0.902148
-14.998529,4,0.905771
-9.995547,4,0.909263
-9.992957,4,0.912231
-9.99437,5,0.915316
-9.991708,5,0.919506
-14.990669,6,0.924267
-9.995542,3,0.926267
-9.999288,2,0.928268
-9.998485,5,0.932233
-9.994439,4,0.935265
-14.982075,8,0.941425
-9.994006,3,0.943425
-9.994421,5,0.948596
-19.994792,5,0.951395
8.680741,8,1.071368
-9.993137,4,1.076367
-14.997708,4,1.081366
-9.992314,5,1.087886
-9.989448,5,1.092142
-9.990724,5,1.095895
-9.985564,6,1.101897
-14.982859,7,1.110049
-9.997786,4,1.113034
-9.989148,4,1.117033
-14.990556,4,1.122557
-9.999288,2,1.124554
-19.993749,5,1.128722
-9.995521,3,1.133723
-14.996366,5,1.139651
-9.98706,5,1.14465
-9.99908,4,1.14858
-9.992198,5,1.151587
-9.991009,5,1.157589
-9.99128,5,1.161587
-9.990521,6,1.167589
-9.991742,5,1.173271
-9.985386,8,1.181338
-14.992954,5,1.186915
-14.992785,6,1.194431
-14.990605,6,1.210112
-9.988187,6,1.222468
-19.99732,7,1.235467
-9.996264,4,1.242643
-9.992946,5,1.248853
-14.994679,5,1.253697
-9.991844,5,1.261695
-9.993923,3,1.266721
-9.99796,3,1.272851
-9.993819,5,1.278601
-9.992164,4,1.28146
-14.992814,6,1.289692
-9.993334,3,1.29169
9.488589,8,1.43383
-14.987738,5,1.440376
-19.984492,6,1.446624
-9.99737,3,1.44975
-14.995056,6,1.457683
-14.987794,5,1.462356
-9.997982,4,1.466342
-9.993975,4,1.471844
-9.997935,4,1.475911
-14.988563,5,1.480477
-9.984826,6,1.486348
-9.992243,5,1.49134
-14.984385,4,1.494739
-14.989576,7,1.50282
-9.991443,6,1.508514
-9.995974,4,1.512577
-9.999288,2,1.516478
-9.995285,4,1.521032
-14.995852,6,1.526388
-9.994222,4,1.531925
-14.994075,4,1.535526
-14.982789,8,1.542354
-9.995132,3,1.547383
-19.99194,7,1.554418
-9.99153,7,1.56339
-9.99655,3,1.566415
-14.992872,7,1.574338
-9.990779,3,1.577813
-9.989141,5,1.582589
-9.988986,5,1.587749
-9.99492,3,1.592625
-19.997445,6,1.598979
-9.98681,4,1.60265
-9.994467,5,1.60865
-9.994656,3,1.612314
-9.992254,6,1.617966
-14.995774,5,1.62383
-9.997658,5,1.628633
-9.992278,4,1.632754
-9.996777,3,1.637345
-24.988223,8,1.645484
-9.987391,6,1.652057
-9.993001,4,1.656507
-9.99885,3,1.659901
-9.998359,4,1.663496
-14.995886,5,1.669459
-9.997033,5,1.674905
-9.997954,3,1.677739
-14.990322,6,1.685064
-19.995517,6,1.692677
-9.996588,4,1.698379
-9.995686,5,1.706758
-14.99745,5,1.713923
-14.982205,5,1.718615
-9.997157,3,1.723405
-14.987582,5,1.730579
-9.982506,6,1.735816
-9.996065,4,1.740639
-9.999242,3,1.744921
-14.994943,4,1.748419
-9.994525,4,1.757391
-9.999288,2,1.762396
-9.993685,6,1.777625
-9.993225,3,1.783614
-9.988687,4,1.792249
-9.993255,4,1.797653
-9.992114,5,1.813662
-9.995234,6,1.82412
-9.996853,5,1.830347
-9.99627,4,1.838596
-9.994981,3,1.842595
-9.990712,6,1.853695
-14.983864,6,1.863404
-9.994144,3,1.870341
-14.97996,6,1.877954
-14.990382,6,1.888011
-9.993019,4,1.89202
-9.988437,6,1.902961
-9.988642,7,1.915822
-14.986555,4,1.925341
-14.997498,4,1.934723
-9.99564,3,1.942419
-14.994363,4,1.951419
-9.992124,6,1.964419
-14.999264,4,1.971419
-9.999288,2,1.97742
-19.98885,5,1.986418
-9.994839,4,1.995461
-9.99543,5,2.001817
-9.995175,4,2.009912
-14.996675,6,2.018991
-14.998443,6,2.027605
-9.992634,4,2.034655
-9.997755,5,2.045593
-14.986845,5,2.058042
-14.997174,4,2.066051
-14.999,6,2.078723
-9.995893,5,2.087724
-14.994094,6,2.098722
-9.993418,6,2.111254
-14.997839,6,2.119319
-14.992554,6,2.129318
-14.97873,8,2.140321
-9.994786,4,2.148787
-9.993239,3,2.155786
-9.993752,5,2.163784
-9.989466,4,2.173334
-14.99681,5,2.182332
-9.989833,5,2.193639
-9.999288,2,2.196332
-9.987575,5,2.203702
-9.990822,6,2.215177
-9.995519,4,2.224354
-14.996249,5,2.232354
-9.994421,3,2.238355
-9.981168,6,2.250426
-14.984484,6,2.261205
-9.99273,4,2.269096
-9.998787,3,2.274096
-9.996214,4,2.279939
-9.998635,5,2.289735
-14.994219,4,2.295795
-9.992583,3,2.302735
-14.988741,4,2.309487
-14.977789,6,2.320854
-9.989184,6,2.331853
-9.998494,5,2.341007
-9.98807,5,2.349445
-9.99031,5,2.357476
-9.997281,3,2.363701
-19.994484,6,2.373183
-14.997493,5,2.380917
-9.997306,5,2.387467
-9.993668,3,2.392463
-14.992693,5,2.39857
-9.999288,2,2.401333
-14.991058,7,2.413634
-9.991462,4,2.419438
-9.991796,4,2.426503
-9.991659,5,2.432619
-9.989419,5,2.440774
-9.994203,3,2.445372
-9.99893,4,2.450378
-14.988181,5,2.459336
-9.995626,3,2.464057
-14.988256,5,2.474335
-14.993842,4,2.47854
-19.988791,6,2.488586
-14.99718,5,2.495621
-9.99356,4,2.502682
-9.995488,3,2.507738
-9.996296,5,2.514488
-14.992354,6,2.523572
-9.992735,5,2.530853
-9.996122,4,2.535915
-9.990176,5,2.543391
-9.999257,3,2.549392
-9.993965,5,2.556392
-14.988235,4,2.563391
-9.999288,2,2.567382
-9.999288,2,2.570343
-9.990679,3,2.576392
-9.987755,4,2.582699
-9.990536,4,2.589388
-9.997675,3,2.595406
-14.9978,6,2.602505
-9.993589,4,2.611408
-9.997691,3,2.616222
-14.992523,6,2.625748
-9.991346,5,2.631983
-9.995074,4,2.637623
-14.993705,6,2.645619
-14.998222,4,2.651359
-9.997055,4,2.657802
-14.996059,6,2.664428
-9.993669,3,2.669394
-14.996477,4,2.6744
-9.9961,4,2.678672
-9.993904,5,2.686336
-9.990063,5,2.693105
6.069505,8,2.850325
-9.992628,3,2.854944
-9.987459,5,2.860877
-1.588802,8,3.003322
-14.993528,5,3.007893
-9.99776,4,3.011475
-9.998183,5,3.017535
-9.998559,3,3.020524
-9.992467,6,3.026523
-9.991756,6,3.033814
-9.985549,5,3.038902
-9.994902,4,3.043902
-9.993258,5,3.049903
-9.999288,2,3.0519
-9.994291,7,3.059872
-14.990196,5,3.069629
-9.99732,3,3.073629
-9.986893,6,3.082627
-14.989118,6,3.089353
-24.991813,6,3.097632
-9.999875,2,3.10064
-19.990209,8,3.113736
-9.995161,6,3.123529
-9.991225,6,3.133484
-9.997502,4,3.14143
-9.999266,3,3.145427
-9.994262,3,3.148602
-9.998214,4,3.153523
-14.997163,5,3.161524
-14.993268,6,3.166525
-19.98728,8,3.176523
-9.987398,5,3.180748
-9.993086,6,3.187914
-9.997919,3,3.191923
-9.988262,4,3.195925
-9.993942,4,3.199575
-9.992498,4,3.205442
-9.999152,3,3.20861
-14.996945,5,3.21317
-14.989748,6,3.221438
-9.992919,6,3.227651
-9.995328,4,3.231621
-9.99037,6,3.239525
-9.997949,3,5.32871
-9.991766,5,5.335635
-9.995848,3,5.340639
-9.985168,7,5.349622
-9.993245,4,5.356624
-9.994782,4,5.361857
-9.989027,4,5.366859
-14.99269,6,5.375646
-9.996487,3,5.379612
-9.989408,4,5.385615
-14.979627,6,5.392611
-14.991085,5,5.396612
-9.996947,5,5.401613
-9.9899,5,5.408605
-9.995326,4,5.413611
-9.995244,6,5.42013
-9.984578,5,5.425127
-14.996432,5,5.429684
-9.992994,4,5.43468
-9.992159,5,5.44068
-9.993803,4,5.446767
-9.998679,4,5.451681
-9.99925,3,5.454707
-9.9943,6,5.46063
-9.993247,4,5.46665
-9.996023,4,5.471145
-14.993399,5,5.475145
-9.993196,3,5.478215
-9.995108,3,5.482237
-9.99508,5,5.488236
-9.991298,4,5.492623
-9.993527,3,5.498659
-14.984072,6,5.503659
-9.997854,4,5.507658
-14.993308,5,5.51364
-9.995505,4,5.51764
-14.995069,8,5.526643
-9.98975,4,5.530642
-14.995227,5,5.535643
-14.997422,6,5.542525
-9.997718,4,5.547525
-9.989741,3,5.550524
-9.994147,3,5.553525
-14.984927,4,5.558656
-14.992629,7,5.564102
-9.986029,6,5.568658
-9.996815,4,5.574666
-9.986,6,5.579645
-9.997599,4,5.582644
-2.083395,8,5.708659
-9.995757,5,5.715422
-14.998493,5,5.719589
-9.989712,5,5.724425
-14.991683,8,5.73542
-14.991809,6,5.743591
-9.993514,4,5.749626
-14.986913,7,5.758803
-14.995618,4,5.763801
-9.995181,4,5.767837
-14.992291,5,5.774838
-9.990388,7,5.780786
-9.997857,3,5.783787
-9.996115,4,5.78678
-0.921491,8,5.922301
-9.990023,4,5.925337
-9.99445,4,5.929434
-9.995695,3,5.931428
-9.994917,7,5.937148
-9.994143,3,5.940703
-9.989265,6,5.946666
-14.992928,6,5.950666
-9.995612,3,5.953666
-9.989603,4,5.956666
-9.993753,4,5.960701
-9.994151,3,5.963705
-9.985538,5,5.967702
-9.991445,4,5.972127
-9.997438,3,5.973701
-9.995541,3,5.977735
-9.990724,5,5.98174
-14.996267,6,5.98574
-14.990154,4,5.990821
-9.995906,3,5.994745
-9.99414,3,5.998709
-9.991356,5,6.00471
-9.991884,5,6.011747
-9.999288,2,6.014746
-14.987254,7,6.023776
-9.994845,3,6.025765
-14.992818,7,6.033773
-9.993381,6,6.042768
-14.998286,4,6.046769
-9.998279,3,6.04975
-9.993903,4,6.053735
-9.997108,4,6.057736
-9.99218,7,6.062737
-14.983132,7,6.068733
-9.989338,5,6.074734
-14.994605,5,6.077734
-9.993682,4,6.081775
-9.985447,5,6.08674
-9.993742,5,6.09121
-9.998557,3,6.094167
-9.99684,3,6.097166
-9.996046,4,6.101135
-9.991186,3,6.104135
-9.98464,5,6.108733
-14.99764,4,6.112688
-19.995571,6,6.118237
-9.99546,3,6.121785
-9.995102,7,6.127789
-9.994224,4,6.130753
-9.989768,5,6.138852
-9.992151,6,6.142884
-9.996365,5,6.146951
-9.990535,4,6.152465
-9.996216,4,6.156991
-9.998986,4,6.159544
-9.999288,2,6.161542
-9.996131,4,6.165508
-9.993655,4,6.168508
-9.992529,4,6.17151
-9.995199,4,6.174542
-9.999258,3,6.176542
-9.996249,3,6.17951
-24.992482,6,6.183542
-9.992113,6,6.188393
-14.994262,6,6.192426
-9.99512,4,6.196392
-9.993911,4,6.199439
-9.995682,4,6.201393
-9.99705,6,6.206393
-9.997224,3,6.208393
-9.998871,3,6.211398
-14.997876,3,6.213396
-9.997112,6,6.2184
-9.996998,6,6.222705
-9.994535,3,6.225706
-14.996826,5,6.22974
-9.989577,7,6.234738
-9.998998,4,6.237541
-9.997878,3,6.240499
-9.986647,5,6.244501
-14.992862,6,6.248501
-14.990736,4,6.251501
-9.998147,4,6.256498
-9.984854,7,6.260931
-14.998543,4,6.263932
-9.999219,3,6.265932
-14.98983,7,6.272897
-9.990746,4,6.27493
-9.999503,3,6.277931
-14.9936,4,6.279935
-14.997941,5,6.283934
-9.996391,3,6.285932
-9.998795,3,6.290897
-14.990804,8,6.295897
-9.99864,4,6.297896
-9.991745,4,6.300897
-9.988348,4,6.305318
-9.993854,6,6.312898
-9.994032,4,6.318938
-14.994129,6,6.327564
-9.994456,3,6.331912
-9.993079,3,6.334585
-14.990198,6,6.34071
-14.997269,4,6.34371
-9.989162,5,6.348724
-9.999073,4,6.354272
-14.997834,4,6.357898
-9.995543,4,6.360859
-14.997083,5,6.363858
-9.990024,5,6.369414
-9.989181,4,6.372419
-9.989042,5,6.375419
-9.997935,4,6.378479
-9.991464,6,6.384418
-9.994739,4,6.387684
-19.993914,7,6.392666
-9.999288,2,6.393666
-19.9788,7,6.399635
-9.999288,2,6.401634
-14.988097,6,6.406146
-9.995285,3,6.408146
-9.994243,4,6.410676
-9.996034,4,6.414677
-9.994601,4,6.418677
-14.987318,5,6.422226
-9.988181,6,6.426226
-9.99031,4,6.429845
-9.99615,3,6.431878
-14.991941,7,6.43588
-14.996092,5,6.440355
-9.995777,6,6.4452
-9.994344,3,6.447389
-9.989094,5,6.450392
-9.995903,5,6.45439
-9.997781,3,6.456389
-9.990965,5,6.461389
