#{"t_start": 1689187999.1689634, "env_id": "None"}
r,l,t
-9.997635,3,0.022363
1.013566,8,0.207384
-14.997815,5,0.214612
-9.979091,3,0.219606
-9.99869,4,0.223421
-9.957914,5,0.228499
-19.991465,5,0.237507
-14.955666,5,0.242466
-9.986988,5,0.250475
-14.976967,7,0.256451
-14.992746,7,0.267781
-9.995476,3,0.272073
-9.99092,4,0.276049
-9.9748,4,0.281052
-14.959473,4,0.285399
-9.991701,5,0.289399
-9.986125,4,0.295924
-14.997329,4,0.298923
-9.995231,5,0.303187
-9.97844,3,0.306674
-9.996075,3,0.310188
-14.992147,6,0.316221
-9.97475,3,0.319221
-9.97708,6,0.325224
-9.979054,2,0.328066
-9.988746,4,0.331219
-19.981909,8,0.33822
-9.999412,4,0.343221
-9.988841,3,0.34682
-9.970216,3,0.349238
-9.998385,3,0.351221
-9.999031,5,0.35722
-14.956209,8,0.365218
-14.996693,6,0.371284
-9.974613,7,0.378294
-9.994424,4,0.381294
-9.986342,5,0.388292
-14.980428,4,0.393818
-14.998627,5,0.397819
-14.99537,7,0.404335
-9.973422,4,0.408334
-14.95635,6,0.412452
-9.998232,5,0.416352
-9.993523,4,0.421332
-9.992871,5,0.427337
-14.950535,4,0.430337
-9.981094,4,0.436372
-9.997682,3,0.438334
-9.979468,3,0.442566
-14.980344,4,0.446569
-9.995762,6,0.453569
-19.996602,6,0.463567
-9.974913,3,0.46757
-9.98201,3,0.47057
-9.982859,3,0.474879
-9.97794,4,0.48088
-9.974543,3,0.483989
-9.978853,3,0.486989
-9.972308,7,0.495487
-9.979054,2,0.497485
-9.9794,4,0.502424
-9.986935,3,0.505431
-14.988382,5,0.513912
-9.998263,5,0.51891
-9.993021,3,0.523002
-29.984981,7,0.532001
-9.969646,5,0.538455
-9.997127,3,0.544154
-9.984566,5,0.548823
-14.986508,6,0.553849
-9.978992,3,0.558851
-14.995886,6,0.565378
-9.999165,3,0.568379
-9.977464,4,0.573476
-9.997674,3,0.576476
-14.995868,8,0.586433
-9.977043,4,0.592435
-14.965395,7,0.599879
-19.997888,5,0.607395
-9.996434,4,0.612173
-9.978886,3,0.615174
-14.984826,4,0.618176
-14.988443,5,0.626124
-9.996668,6,0.633142
-14.969154,5,0.640811
-9.998091,3,0.645589
-9.997457,6,0.653248
-19.977486,4,0.659496
-9.981676,3,0.661723
-9.998084,5,0.667763
-9.996997,3,0.669736
-9.998856,3,0.67328
-9.99894,4,0.677799
-19.984873,6,0.683333
-5.618616,8,0.840175
-9.978058,2,0.842362
-14.991533,6,0.848361
-9.961334,5,0.852534
-9.976047,3,0.856567
-9.977662,4,0.86237
-9.942208,7,0.871876
-9.97746,3,0.876723
-14.99712,6,0.881719
-9.998517,3,0.885467
-9.976405,3,0.888468
-14.994943,4,0.894254
-24.97519,6,0.901821
-14.964657,6,0.906779
-9.984652,5,0.912452
-9.997188,3,0.91746
-9.978757,3,0.920461
-14.998119,4,0.924686
-9.9648,4,0.93146
-9.978326,3,0.934458
-9.982392,3,0.936458
-14.992822,6,0.94346
-14.972872,7,0.951463
-9.975716,4,0.954463
-9.992901,6,0.963565
-9.978161,4,0.968746
-9.979046,3,0.971183
-9.998981,4,0.974661
-9.9811,3,0.978206
-9.978415,4,0.981202
-14.996393,5,0.986203
-9.979054,2,0.988829
-9.983433,3,0.993289
-14.972425,6,0.999426
-9.975446,3,1.001829
-9.998764,3,1.005782
-14.976789,7,1.016304
-9.979054,2,1.020304
-14.979838,4,1.029304
-9.995667,3,1.034333
-9.980257,3,1.039334
-9.950142,6,1.051155
-9.993239,4,1.057157
-14.980236,4,1.067158
-9.993805,4,1.075432
-14.985207,5,1.084642
-9.978226,4,1.091641
-9.992781,6,1.101642
-9.989555,4,1.10564
-9.978613,5,1.111667
-14.997329,5,1.117668
-9.97889,3,1.12067
-9.996848,5,1.129543
-24.996501,8,1.143258
-9.977123,3,1.146255
-9.978776,5,1.154257
-9.979514,4,1.159257
-9.987801,3,1.164257
-14.921173,6,1.174781
-9.98109,6,1.182348
-19.933439,4,1.187332
-19.983213,6,1.198332
-14.973998,5,1.20433
-9.97404,4,1.212228
-9.976428,6,1.222846
-9.99364,4,1.22885
-9.99876,3,1.233147
-9.997998,3,1.239281
-9.978363,3,1.245149
-9.994402,3,1.250148
-9.996842,6,1.262145
-9.961676,5,1.274148
-9.979054,2,1.27823
-9.986655,6,1.285353
-14.968479,6,1.293879
-9.990203,4,1.297877
-9.995048,3,1.30132
-9.997141,4,1.308311
-14.969091,7,1.31615
-9.97866,4,1.324152
-9.992464,3,1.329276
-16.903719,8,1.479816
-9.992344,3,1.483171
-14.956707,6,1.492412
-9.978896,3,1.495903
-14.959264,4,1.499213
-14.999037,4,1.506146
-9.996827,4,1.510868
-9.978584,4,1.515562
-9.972486,5,1.524248
-9.978961,3,1.529246
8.377469,8,1.697125
-9.977521,4,1.703884
-9.983453,3,1.709164
-1.605098,8,1.909259
-14.965854,7,1.920259
-6.448377,8,2.152613
-19.963818,7,2.16567
-9.974343,4,2.171382
-14.989197,6,2.183357
-9.997489,3,2.188358
-9.995621,6,2.199359
-14.949333,4,2.206359
-14.955497,8,2.222358
-9.997084,3,2.230357
-9.996281,4,2.237357
-14.988892,5,2.248358
-14.976329,6,2.260231
-9.973384,5,2.269229
-14.993406,6,2.279307
-9.996675,5,2.287238
-9.99818,3,2.294165
-9.997009,6,2.304039
-9.975055,3,2.30904
-9.979054,2,2.314332
-14.987597,4,2.321734
-9.992488,7,2.334498
-9.979054,2,2.338878
-9.965445,6,2.348604
-9.988511,6,2.358497
-9.978602,3,2.362623
-9.978456,3,2.369623
-9.978735,3,2.375832
-9.975187,4,2.383158
-14.994983,4,2.389158
-9.996268,4,2.395158
-9.974151,5,2.405159
-9.978897,3,2.410158
-9.97329,4,2.41726
-9.974099,3,2.42124
-14.990984,5,2.42924
-9.978679,3,2.433241
-14.977686,6,2.44018
-9.997072,6,2.450248
-9.996202,5,2.455179
-9.978533,4,2.462132
-14.993439,7,2.470367
-9.995896,4,2.478614
-14.989202,6,2.485264
-14.974631,5,2.493263
-9.994502,4,2.498264
-9.997392,5,2.506331
-9.986609,3,2.51033
-9.978904,3,2.513373
-9.998441,3,2.517373
-9.973352,5,2.524374
-9.977315,3,2.529372
-9.986964,4,2.533491
-9.982402,6,2.54274
-22.588248,8,2.693994
-19.964092,8,2.701424
-9.996503,5,2.708418
-9.997069,5,2.714572
-14.996724,5,2.722574
-14.93569,6,2.730571
-14.995563,5,2.737396
-9.995877,3,2.741397
-9.973541,4,2.74732
-9.994611,5,2.753321
-14.984952,6,2.760321
-14.983923,6,2.765322
-9.991804,4,2.770957
-14.994743,4,2.776324
-9.999064,3,2.781313
-9.992804,4,2.788313
-9.997879,3,2.792167
-9.976707,4,2.796154
-9.979272,5,2.803188
-9.972883,5,2.809405
-9.978708,3,2.812417
-9.974728,5,2.818774
-14.953308,5,2.824326
-14.989707,5,2.832817
-9.992053,4,2.838246
-14.996653,5,2.846232
-9.9836,3,2.848886
-9.998494,4,2.853593
-9.994541,4,2.857596
-9.974502,5,2.864669
-14.998516,4,2.868669
-9.978935,3,2.87205
-14.994321,5,2.879133
-9.997275,3,2.88339
-9.97391,4,2.888943
-14.967666,6,2.897915
-9.978193,4,2.90138
-14.998932,5,2.91035
-9.995115,4,2.916728
-14.952609,7,2.928063
-9.978296,4,2.934244
-19.941312,5,2.941247
-9.98606,4,2.947243
-9.975963,6,2.956816
-14.980084,4,2.961717
-9.99524,4,2.967257
-9.999138,3,2.970256
-9.978789,4,2.976268
-9.998955,3,2.980783
-9.992442,4,2.987466
-9.975874,4,2.992449
-9.973942,4,2.999165
-19.965753,7,3.008003
-9.978849,4,3.013247
-9.972072,4,3.018245
-14.993906,5,3.027247
-9.976254,5,3.034248
-9.978953,5,3.039968
-9.95652,8,3.050502
-14.982113,4,3.054609
-14.981048,6,3.063608
-9.978361,3,3.06751
-1.997147,8,3.222409
-14.944308,7,3.232178
-9.978354,3,3.236178
-9.978971,3,3.241202
-9.978938,3,3.246208
-9.997728,3,3.249208
-9.983173,4,3.253299
-14.998888,4,3.259349
-9.994569,6,3.266633
-14.958409,7,3.274464
-9.980738,6,3.281418
-9.978938,3,3.284385
-9.949984,6,3.294387
-9.979003,3,3.297739
-9.978427,5,3.302428
-9.995405,5,3.31043
-9.984957,5,3.31774
-9.978881,3,3.322742
-9.95319,7,3.32974
-14.994582,5,3.335978
-14.988166,6,3.345514
-9.961043,3,3.349148
-14.970699,7,3.358764
-9.979054,2,3.361675
-9.994621,5,3.367367
-9.998095,4,3.372442
-9.990831,4,3.379939
-9.979054,2,3.383263
-14.996529,5,3.389261
-14.998386,5,3.395262
-9.998126,5,3.402324
-14.969781,6,3.408324
-9.978395,5,3.41633
-9.979902,5,3.424015
-9.99855,3,3.430015
-14.998212,4,3.43526
-9.982352,3,3.438261
-19.992261,7,3.44926
-9.99247,3,3.452461
-9.997244,5,3.461456
-14.968303,7,3.469461
-9.975105,3,3.472486
-9.990667,8,3.484561
-14.972472,5,3.49456
-14.972911,8,3.508612
-9.979054,2,3.513293
-14.998035,4,3.519338
-19.998617,5,3.529295
-14.949954,8,3.542367
-14.971578,4,3.54871
-9.978728,3,3.554381
-9.976311,4,3.56023
-9.974998,3,3.564777
-9.978705,3,3.569287
-14.980509,3,3.573288
-9.989868,3,3.577324
-9.973207,4,3.582267
-14.980509,3,3.587164
-9.996774,3,3.591268
-9.994872,3,3.595265
-9.974642,3,3.600268
-9.964004,5,3.606603
-9.963535,6,3.615283
-19.984669,5,3.621269
-9.977503,3,3.627245
-9.97273,4,3.634392
-9.983859,4,3.640364
-9.978633,5,3.648831
-9.977689,3,3.653462
-9.978894,5,3.661463
-9.997832,3,3.665586
-9.974476,5,3.671587
-14.980509,3,3.676423
-19.953332,5,3.68431
-9.98136,8,3.695309
-9.988823,3,3.699622
-9.974556,6,3.708736
-9.972868,7,3.721247
-14.962825,4,3.729234
-9.978891,3,3.734628
-19.941899,5,3.743384
-14.97989,4,3.750382
-14.995076,5,3.759382
-9.966961,5,3.764135
-9.96099,4,3.770135
-14.989714,5,3.7793
-19.924496,5,3.786206
-9.978243,4,3.79172
-9.978551,3,3.794729
-14.95824,5,3.801731
-9.994268,4,3.80573
-9.978757,3,3.80873
-9.99942,4,3.814729
-14.980023,6,3.82254
-14.997206,4,3.828552
-9.97839,3,3.833052
-9.997987,3,3.837967
-9.983745,4,3.843486
-9.978933,3,3.847489
-14.978107,4,3.850488
-9.995297,7,3.857489
-9.970047,6,3.864489
-14.995001,7,3.870486
-9.997196,5,3.875489
-9.976571,6,3.880007
-9.978415,3,3.88251
-14.984686,8,3.888462
-9.978871,3,3.892981
-19.992081,6,3.897
-9.998039,3,3.899981
-14.995126,5,3.904044
-9.997723,3,3.909091
-9.991515,4,3.912511
-9.988359,3,3.91552
-14.993985,6,3.91952
-9.974068,4,3.925793
-14.991969,7,3.933496
-9.986916,5,3.938488
-9.996691,5,3.944007
-14.962825,4,3.947007
-9.995946,6,3.953588
-9.997387,4,3.959586
-14.98676,6,3.966405
-14.998476,5,3.973644
-9.99434,4,3.977304
-9.992731,4,3.980304
-9.980963,4,3.98438
-9.997338,4,3.98838
-9.998253,5,3.992478
-14.959301,4,3.996378
-14.984285,6,4.005379
-9.997335,3,4.010379
-9.997379,3,4.015463
-9.975567,4,4.019461
-9.973815,4,4.023458
-9.997105,4,4.030461
-9.997614,4,4.034194
-9.996112,4,4.037195
-9.968025,7,4.044848
-9.977203,5,4.049871
-9.984146,4,4.052846
-14.980406,4,4.056845
-9.997265,3,4.060848
-9.979054,2,4.0641
-9.986532,4,4.068101
-19.989541,7,4.07553
-19.941401,5,4.080525
-9.978876,3,4.083526
-9.995721,6,6.381525
-9.996199,5,6.386476
-9.979054,2,6.390544
-14.998515,4,6.394476
-9.970897,4,6.399475
-9.981486,5,6.405548
-9.978669,5,6.409548
-9.996521,4,6.413484
-9.996604,3,6.415483
-9.977348,6,6.423456
-14.958896,5,6.430977
-9.997591,5,6.438467
-14.980509,3,6.443287
-9.992802,5,6.447286
-14.980463,4,6.452813
-9.997539,4,6.458814
-14.997648,5,6.464328
-9.981632,4,6.469328
-9.997261,4,6.474344
-9.989842,4,6.480331
-9.998384,3,6.48433
-9.995201,4,6.49033
-9.972521,6,6.498641
-9.980018,4,6.50251
-19.996478,7,6.511244
-14.980999,5,6.517244
-14.979869,5,6.525242
-14.982491,5,6.533243
-14.980897,5,6.540251
-9.982372,3,6.545245
-9.981445,6,6.553242
-9.988188,4,6.556243
-9.963858,5,6.564242
-9.994642,4,6.569242
-9.997216,3,6.573244
-9.995699,7,6.580244
-9.996502,5,6.585277
-9.999363,3,6.589275
-14.990315,5,6.595354
-14.962825,4,6.598354
-9.990318,5,6.604359
-9.996545,5,6.609357
-14.995406,4,6.613379
-14.979188,5,6.617357
-14.927539,7,6.62443
-14.985797,4,6.628879
-9.986922,5,6.632478
-9.989925,3,6.636487
-9.978205,4,6.640485
-9.998875,4,6.644427
-9.998668,4,6.648426
-9.996967,4,6.654206
-9.980504,4,6.660203
-9.98035,3,6.663201
-14.9597,3,6.666202
-9.997272,6,6.671201
-9.995606,3,6.67483
-14.979523,5,6.679547
-9.998519,3,6.683457
