#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-19.97607,5,3.525733
-9.997188,5,3.534765
-9.995741,3,3.539847
-14.997041,6,3.549953
-9.998307,5,3.560962
-9.96606,4,3.570025
-9.953604,4,3.577212
-9.997468,4,3.585025
-9.966389,5,3.595297
-9.999038,8,3.609815
-9.993234,3,3.617816
-14.98731,5,3.627325
-9.970959,3,3.631764
-14.999772,6,3.642046
-9.996289,3,3.646762
1.95542,8,3.793973
-19.967584,8,3.801554
-14.99769,4,3.806713
-9.967985,2,3.808634
-9.966237,3,3.811635
-9.998534,4,3.81636
-9.994167,4,3.819363
-9.999626,4,3.82357
-14.971553,4,3.82854
-9.999714,4,3.833077
-9.999533,8,3.84078
-9.979545,6,3.84694
-9.997896,4,3.8508
-9.997967,5,3.856557
-19.988354,7,3.864985
-14.994065,4,3.868658
-9.959225,4,3.87266
-14.93999,6,3.879621
-9.999316,3,3.884419
-14.940008,6,3.89119
-14.99791,4,3.897352
-9.956812,7,3.904795
-9.997996,3,3.908806
-9.960112,4,3.913906
-9.964939,4,3.919091
-9.990734,3,3.921889
-14.966043,6,3.928808
-9.998117,3,3.932485
-9.994533,3,3.934483
-14.940008,4,3.939495
-9.996162,3,3.942741
-9.991581,3,3.949671
-9.967768,4,3.95586
-9.994892,4,3.962765
-9.997517,5,3.967797
-9.999835,3,3.9708
-9.997728,4,3.974941
-9.999782,3,3.979907
-14.967981,5,3.983807
-14.943896,6,3.989811
-9.997002,5,3.996952
-9.970287,4,3.999947
-9.993387,3,4.002947
-14.960231,5,4.008732
-9.993398,4,4.013282
-9.995548,4,4.016741
-9.993778,5,4.022519
-9.960182,6,4.029506
-9.994055,4,4.033507
-19.976056,6,4.041267
-24.974886,8,4.048743
-9.998736,5,4.054794
-9.965982,4,4.058775
-14.997484,5,4.064101
-14.958701,8,4.071642
-14.906178,7,4.077626
-9.993347,5,4.083629
-9.9959,4,4.087861
-9.983627,7,4.094571
-14.999257,4,4.099611
-9.933804,5,4.103615
-9.999859,5,4.108634
-9.978137,5,4.116062
-9.967985,3,4.117881
-14.910395,5,4.121881
-14.967994,5,4.126415
-9.931533,4,4.133407
-14.978076,5,4.141172
-9.995698,4,4.146885
-9.997662,4,4.151867
-9.998663,4,4.155587
-14.993236,8,4.169535
-14.980787,6,4.177418
-9.984419,6,4.184159
-9.999858,6,4.193832
-9.967985,2,4.197453
-9.979831,3,4.200453
-9.992806,3,4.203452
-14.995213,4,4.210071
-14.940008,5,4.216784
-9.993382,5,4.223777
-9.99231,4,4.231965
-9.964659,6,4.241004
-9.956664,3,4.246047
-9.967985,2,4.248056
-9.998119,3,4.251056
-9.999615,3,4.255584
-9.999791,3,4.257953
-14.999161,4,4.261416
-9.999805,4,4.264418
-9.999262,4,4.268587
-9.9837,6,4.273587
-14.939969,4,4.278143
-19.927995,5,4.281462
-9.996713,7,4.29246
-9.989363,5,4.299786
-9.993333,4,4.303782
-9.997351,4,4.308162
-9.967985,3,4.311546
-14.998735,6,4.31663
-9.981484,5,4.32063
-14.961007,4,4.324632
-9.967409,4,4.328818
-9.999021,3,4.332798
-9.966387,4,4.336593
-9.983463,4,4.340045
-14.939574,4,4.343122
-14.994649,4,4.348687
-14.971461,6,4.35269
