#{"t_start": 1689175074.4692452, "env_id": "None"}
r,l,t
-9.997955,4,0.033136
-19.969232,8,0.040136
-9.967538,3,0.04417
-14.923954,6,0.052136
-9.967985,2,0.055314
-14.998556,4,0.060171
-9.99197,6,0.068441
-9.957759,6,0.076753
-9.967985,3,0.079985
-14.921098,6,0.087373
-14.946819,6,0.096391
-9.999464,5,0.102308
-9.998593,5,0.107817
-9.999893,4,0.113455
-9.959042,4,0.117427
-9.967985,3,0.12143
-9.98554,3,0.126418
-14.971663,4,0.132414
-9.922856,7,0.14237
-14.997975,5,0.147368
-9.967985,2,0.149362
-9.967985,3,0.15136
-9.99428,3,0.15436
-14.968036,4,0.159362
-14.995085,5,0.164362
-19.975131,7,0.171092
-14.972024,4,0.178262
-14.918589,4,0.182032
-9.994498,4,0.188197
-9.999773,5,0.195103
-9.963204,4,0.200102
-5.338059,8,0.326128
-19.984863,5,0.329254
-9.978589,6,0.334234
-9.946499,5,0.337237
-19.914055,6,0.343391
-14.999237,6,0.347239
-14.989865,5,0.351239
-19.995476,7,0.35624
-19.857817,8,0.363055
-14.957122,5,0.367055
-9.967985,3,0.369056
-14.997497,6,0.376005
-14.998204,6,0.380034
-9.956978,4,0.383037
-9.982132,5,0.387037
-9.992611,8,0.394003
-9.998552,4,0.397036
-9.998739,4,0.400036
-9.960921,4,0.402036
-24.979494,7,0.409358
-9.996298,7,0.414357
-9.967985,4,0.417356
-16.113663,8,0.525633
-9.999862,3,0.52828
-14.997258,5,0.532311
-14.9989,4,0.535316
-9.98004,7,0.54028
-14.996854,5,0.54528
-14.993531,7,0.549312
-9.940432,5,0.553313
-14.970659,6,0.557031
-9.965858,6,0.562052
-9.963473,3,0.564057
-9.946209,5,0.568054
-14.972024,4,0.570053
-9.967984,3,0.574023
-14.9979,4,0.577667
-14.999629,5,0.580668
-9.954669,3,0.583666
-9.967985,3,0.585665
-14.998067,4,0.588715
-14.966666,8,0.597665
-9.993405,4,0.60063
-9.967903,4,0.605292
-14.972024,4,0.60926
-9.968383,5,0.613287
