#{"t_start": 1688721135.0264914, "env_id": "None"}
r,l,t
-99.833052,8,0.028952
-99.804015,6,0.034953
-99.999665,4,0.040194
-99.846975,5,0.044195
-99.878576,6,0.049425
-99.982465,6,0.054425
-99.998483,5,0.058193
-99.893091,5,0.061193
-99.999388,3,0.063193
-99.956897,3,0.065194
-99.772843,7,0.069339
-99.98778,4,0.072338
-99.944671,3,0.074337
-99.927576,4,0.077301
-99.947007,4,0.079558
-99.74724,6,0.082554
-99.946597,4,0.088102
48.834853,8,0.210242
-99.902844,3,0.212242
-99.793218,7,0.21733
-99.831534,7,0.223331
-99.929849,3,0.22533
-99.813277,4,0.230205
-99.829945,4,0.232211
64.451646,8,0.33061
-99.936795,4,0.333505
-99.930699,6,0.33754
-99.939204,4,0.34054
-99.832686,7,0.34454
41.633232,8,0.442147
-99.867681,4,0.445145
-99.773609,5,0.448154
-99.904911,3,0.450154
66.582154,8,0.536363
-99.999577,4,0.539294
-99.941588,3,0.541297
-99.995245,5,0.544294
-99.796394,6,0.547351
-99.822101,4,0.55038
-99.833895,5,0.553381
-99.925784,3,0.55538
-99.996506,3,0.557426
-99.911203,4,0.560424
-99.939547,6,0.563423
-99.892308,5,0.567348
-99.881142,4,0.570347
-99.827466,6,0.573347
-99.906452,5,0.577726
-99.915025,3,0.579708
-99.997673,3,0.58182
-99.833551,8,0.587771
-99.948269,5,0.591772
-99.89837,5,0.594771
-99.964934,3,0.596903
-99.965719,3,0.599952
-99.964599,4,0.602924
-99.820309,6,0.606304
-99.924408,7,0.61029
-99.905022,5,0.613289
-99.8679,5,0.617298
-99.998691,4,0.619332
-99.949705,4,0.621329
-99.828133,4,0.625987
-99.965184,3,0.629095
-99.90234,4,0.632095
-99.964336,3,0.634094
-99.822874,5,0.637306
-99.959275,3,0.639304
-99.893017,3,0.641304
-99.822426,5,0.644317
-99.99806,6,0.648316
-99.897824,5,0.651316
-99.776314,8,0.656619
-99.960441,3,0.659511
-99.727857,7,0.663496
-99.856566,4,0.666878
-99.889454,4,0.668885
-99.788724,5,0.671884
71.457189,8,0.760219
-99.947163,3,0.762219
-99.917525,3,0.76422
-99.883171,4,0.767377
-99.949565,4,0.7717
-99.850988,6,0.775293
-99.991979,4,0.779538
-99.911258,5,0.785072
-99.945978,7,0.792263
-99.895853,6,0.797441
-99.830425,7,0.805807
-99.892998,5,0.81032
-99.905232,5,0.81467
-99.955412,4,0.818186
-99.993862,4,0.821218
-99.988657,4,0.823217
-99.889584,5,0.826572
-99.902937,3,0.828299
-99.930079,6,0.832298
-99.769916,7,0.837266
-99.930906,4,0.839303
-99.916326,4,0.8423
-99.914621,4,0.844303
-99.898207,4,0.847943
-99.95796,3,0.849946
-99.753079,6,0.852942
-99.905022,4,0.855943
-99.999075,3,0.857943
-99.951054,4,0.860928
-99.887486,5,0.863943
-99.996897,4,0.867238
-99.935857,4,0.869945
-99.997551,3,0.871943
-99.892046,4,0.873943
-99.908105,5,0.877686
-99.893279,3,0.879686
-99.84656,5,0.882688
-99.967942,5,0.88644
-99.947093,5,0.889565
-99.811954,4,0.892565
-99.99933,4,0.895565
-99.594892,7,0.899927
-99.805432,6,0.90293
-99.999665,3,0.904927
-99.921043,4,0.909066
-99.837224,5,0.912072
-99.855286,4,0.915072
-99.971203,5,0.918222
-99.915255,6,0.922185
-99.916168,3,0.924184
-99.858102,6,0.927613
-99.803055,5,0.930613
-99.99939,3,0.932613
-99.850015,6,0.936702
-99.949269,4,0.940709
-99.831935,6,0.943708
-99.852854,8,0.94922
-99.997991,6,0.95322
-99.922793,3,0.95522
-99.801945,7,0.959603
-99.880199,5,0.962602
-99.998618,5,0.965603
-99.968921,4,0.969637
-99.82626,4,0.971636
-99.831467,4,0.973636
-99.890036,7,0.978847
-99.997305,3,0.979848
-99.875496,6,0.984813
-99.900592,5,0.988044
64.922358,8,1.08266
-99.92786,4,1.086208
-99.903849,6,1.089908
-99.718596,8,1.096172
-99.991601,3,1.097958
-99.960517,3,1.099958
-99.998963,4,1.101958
-99.93558,3,1.103959
-99.873895,3,1.107114
-99.929182,8,1.112971
-99.941289,3,1.11497
-99.998271,4,1.117969
-99.764753,7,1.12207
-99.897221,4,1.124968
-99.998407,4,1.12813
-99.871831,4,1.130131
-99.905913,7,1.134131
-99.872463,4,1.137832
-99.894103,6,1.142732
-99.748968,7,1.146767
-99.862617,6,1.150863
-99.759376,4,1.153862
-99.934725,6,1.15799
-99.954044,5,1.16099
-99.956257,3,1.162991
-99.826399,6,1.167002
-99.999665,3,1.17
-99.757789,6,1.174
-99.999431,3,1.175999
-99.805714,6,1.18
-99.722627,5,1.182999
-99.942732,4,1.186399
-99.746596,8,1.191161
-99.858505,6,1.195161
-99.934366,7,1.200677
-99.875517,4,1.203174
-99.931804,4,1.205173
-99.945822,4,1.208179
-99.87375,6,1.211179
-99.914035,3,1.213179
-99.940684,4,1.216957
-99.826084,7,1.220909
-99.855519,6,1.224909
-99.854519,8,1.229878
-99.937395,4,1.232877
-99.999637,3,1.235878
-99.917086,5,1.238987
-99.971092,4,1.240986
-99.837787,6,1.244988
-99.873778,3,1.250264
-99.928603,3,1.253266
-99.915432,7,1.257279
-99.964076,3,1.259278
-99.816003,4,1.261279
-99.694158,8,1.269908
-99.868413,4,1.272552
-99.822199,6,1.275552
-99.969768,5,1.279422
-99.950391,4,1.282422
-99.813042,4,1.284424
-99.971181,3,1.286751
-99.859676,6,1.290432
-99.817162,4,1.293498
-99.919905,4,1.297217
-99.892162,5,1.300178
-99.918667,4,1.303181
-99.789097,8,1.309301
-99.99933,5,1.3132
-99.807564,5,1.316213
-99.912899,3,1.318209
-99.877146,6,1.32121
-99.913731,4,1.32421
-99.907894,7,1.329266
