Model Number,Reward,Mean Error,Max Error,Chosen Points
20,0.18994817804066763,0.11162424487209612,0.23318452949724233,[-7.89  -7.779999999999999  -7.669999999999999  -7.559999999999999  -7.449999999999998  -7.339999999999998  -7.229999999999998  -7.119999999999997]
21,44.21824027119175,0.006481834798392575,0.032380908225938004,[-5.95  -3.9000000000000004  -1.8500000000000005  0.1999999999999993  2.249999999999999  4.299999999999999  8]
22,0.15602105260475993,0.06633747117137576,0.2527045703001293,[-7.14  -6.279999999999999  -5.419999999999999  -4.559999999999999  -3.699999999999999  -2.839999999999999  -1.979999999999999  -1.1199999999999992]
23,0.13025232650330726,0.09047514547799843,0.2541917104082778,[-7.36  -6.720000000000001  -6.080000000000001  -5.440000000000001  -4.800000000000002  -4.160000000000002  -3.520000000000002  -2.8800000000000017]
24,24.856950924695465,0.01508303808864685,0.054230605364462586,[-2.7  2.5999999999999996  8]
25,0.2736339549078758,0.08480633866735983,0.22467900628010462,[-7.56  -7.119999999999999  -6.679999999999999  -6.239999999999998  -5.799999999999998  -5.449999999999998  -5.099999999999999  6.990000000000001]
26,7.6858145879085,0.038630201601764794,0.09725052532828615,[-4.220000000000001  -0.44000000000000083  3.339999999999999  8]
27,0.0876541432889085,0.094047128465066,0.2698018255455126,[-7.59  -7.18  -6.77  -6.359999999999999  -5.949999999999999  -5.539999999999999  -5.129999999999999  -4.719999999999999]
28,0.16344856962925333,0.08808576068368482,0.24532968828572121,[-7.32  -6.640000000000001  -5.960000000000001  -5.280000000000001  -4.600000000000001  -3.9200000000000013  -3.240000000000001  -2.560000000000001]
29,2.9964665167136997,0.029827422665921526,0.13869882846961712,[-7.84  -7.68  -7.52  -5.8999999999999995  -4.279999999999999  -2.6599999999999993  -1.0399999999999991  0.580000000000001]
30,38.15161621314566,0.008613624592075647,0.03799667987111277,[-5.58  -3.16  -0.7400000000000002  1.6799999999999997  4.1  4.699999999999999  4.759999999999999  5.469999999999999]
31,0.13410097372381075,0.11889289459891263,0.24587396024744448,[0.9100000000000001  8]
32,0.08932176567682024,0.0946107967241704,0.2688756454107981,[-7.61  -7.220000000000001  -6.830000000000001  -6.440000000000001  -6.050000000000002  -5.660000000000002  -5.270000000000002  -4.880000000000003]
33,0.08680385204273436,0.09344456589182484,0.2703586279402146,[-7.48  -6.960000000000001  -6.440000000000001  -5.920000000000002  -5.400000000000002  -4.880000000000003  -4.360000000000003  -4.220000000000003]
34,0.26877348194231304,0.11950570945545612,0.21675092741431215,[7.75  8]
35,0.1825316631695771,0.11245825793406226,0.2346355109405225,[6.82  8]
36,44.46767673824208,0.005455371281051383,0.032403141603897345,[-6.7  -5.4  -4.1000000000000005  -2.8000000000000007  -1.5000000000000007  -0.20000000000000062  1.0999999999999994  2.3999999999999995]
37,0.08948184032383885,0.09359236528242586,0.2690556487496567,[-7.48  -6.960000000000001  -6.440000000000001  -5.920000000000002  -5.400000000000002  -4.880000000000003  -4.360000000000003  -3.840000000000003]
38,0.5310244894699083,0.07555781475577994,0.19936543486366937,[0.7400000000000002  3.12  5.5  8]
39,46.22577736063258,0.005945524366444699,0.03066497690708192,[-6.0  -4.0  -2.0  0.0  2.0  4.0  6.0  8]
40,0.29875096970490156,0.12134994472944866,0.21188397697828898,[-8.0  -8.0  -8.0  -8.0  -8.0  -8.0  -8.0  -8.0]
41,0.08656705746018843,0.09361683495911219,0.270429379619177,[-7.57  -7.140000000000001  -6.710000000000001  -6.280000000000001  -5.850000000000001  -5.420000000000002  -4.990000000000002  -4.560000000000002]
42,12.627277382006282,0.015533889784969338,0.08233781257045868,[-7.63  -7.26  -3.2899999999999996  -2.9199999999999995  1.0500000000000007  1.4200000000000008  5.390000000000001  5.48]
43,36.781521219070335,0.009556796801909897,0.039284742787615984,[-4.8100000000000005  -1.6200000000000006  1.5699999999999994  4.76  8]
44,0.11960159641966114,0.10333662724648324,0.25453081300305846,[5.68  8]
45,0.24997587914959205,0.11824165398354143,0.22008796296929947,[7.58  8]
46,0.11880809274359479,0.10317151156613752,0.2548494529261517,[5.66  8]
47,0.10475504857731179,0.09983218084435158,0.26092948440921526,[5.26  8]
48,0.09291659411969821,0.09567754242726677,0.2669649148781359,[-7.64  -7.279999999999999  -6.919999999999999  -6.559999999999999  -6.199999999999998  -5.839999999999998  -5.479999999999998  -5.119999999999997]
49,25.752290995626243,0.008983907091365614,0.05428096456599496,[-7.84  -7.68  -4.9399999999999995  -2.1999999999999993  -2.039999999999999  0.7000000000000011  0.8600000000000011  3.6000000000000014]
50,0.24203725312592042,0.07952253464581663,0.23111244184371257,[-7.23  -6.460000000000001  -5.690000000000001  -4.920000000000002  -4.150000000000002  -3.380000000000002  -2.610000000000002  -1.840000000000002]
51,0.08948184032383885,0.09359236528242586,0.2690556487496567,[-7.48  -6.960000000000001  -6.440000000000001  -5.920000000000002  -5.400000000000002  -4.880000000000003  -4.360000000000003  -3.840000000000003]
52,0.26648210654615906,0.11935754313817482,0.21714471280022277,[7.73  8]
53,45.983217776805986,0.006704597609707617,0.030694420889447876,[-5.77  -3.5399999999999996  -1.3099999999999996  0.9200000000000004  3.1500000000000004  8]
54,0.15602105260475993,0.06633747117137576,0.2527045703001293,[-7.14  -6.279999999999999  -5.419999999999999  -4.559999999999999  -3.699999999999999  -2.839999999999999  -1.979999999999999  -1.1199999999999992]
55,1.9656628204322548,0.063337567439275,0.14788813665464362,[-7.85  -7.699999999999999  -7.549999999999999  -7.399999999999999  -7.249999999999998  -7.099999999999998  -1.299999999999998  4.500000000000002]
56,0.09327956886260982,0.09547867859061417,0.2668521788668895,[5.1899999999999995  5.27  8]
57,7.567167183021119,0.03688848090772914,0.0983341883072621,[-3.29  1.42  6.13  8]
58,0.16742899397768823,0.07273920205815221,0.24816378782438883,[-7.18  -6.359999999999999  -5.539999999999999  -4.719999999999999  -3.899999999999999  -3.079999999999999  -2.2599999999999993  -1.4399999999999995]
59,28.386481900668592,0.013031858893813074,0.04921108292458548,[-4.99  -1.9800000000000004  1.0299999999999994  4.039999999999999  7.049999999999999  8]
60,0.2386032268333216,0.11741816692678574,0.22223393457533905,[7.470000000000001  8]
61,0.11865071569208137,0.09138198800153259,0.2578520634223842,[-7.38  -6.76  -6.14  -5.52  -4.8999999999999995  -4.279999999999999  -3.6599999999999993  -3.039999999999999]
62,0.13359185230627704,0.10595424712250906,0.24926711286349137,[6.0  8]
63,0.1908018894884024,0.1133093003981821,0.23257641669320564,[6.93  8]
64,0.1939236515611923,0.11361756015749928,0.23182314879483948,[6.970000000000001  8]
65,48.158241865946835,0.00528815899311339,0.029122872408373524,[-6.07  -4.140000000000001  -2.210000000000001  -0.2800000000000009  1.649999999999999  3.579999999999999  5.509999999999999  6.219999999999999]
66,0.27459795028422024,0.11987556703302746,0.21576516807646842,[7.800000000000001  8]
67,0.18744957381322527,0.07562345259514745,0.24273645332593471,[-7.2  -6.4  -5.6000000000000005  -4.800000000000001  -4.000000000000001  -3.200000000000001  -2.4000000000000012  -1.6000000000000012]
68,0.22041975770815642,0.12104001283222271,0.22463131958092233,[0.3100000000000005  8]
69,0.18601792653289725,0.11098169672487772,0.23421634318095053,[-7.51  -7.45  -7.390000000000001  -7.330000000000001  -7.270000000000001  -7.210000000000002  -7.150000000000002  -7.0900000000000025]
70,60.884730907871756,0.0032517491177956603,0.01986155300044412,[-6.4399999999999995  -4.879999999999999  -3.319999999999999  -1.759999999999999  -0.19999999999999885  1.3600000000000012  2.9200000000000013  4.480000000000001]
71,38.699806757796935,0.006151314918322164,0.03801782040806123,[-6.72  -5.4399999999999995  -4.159999999999999  -2.879999999999999  -1.599999999999999  -0.31999999999999895  0.9600000000000011  2.240000000000001]
72,37.56447828244146,0.008777913387938542,0.038601826180449605,[-5.58  -3.16  -0.7400000000000002  1.6799999999999997  4.1  8]
73,20.339419426129208,0.017132651639112317,0.062075559558132654,[-2.8099999999999996  2.380000000000001  7.570000000000001  8]
74,44.170074074225205,0.006445901306883088,0.03243530314641929,[-5.970000000000001  -3.940000000000001  -1.910000000000001  0.11999999999999877  2.1499999999999986  4.649999999999999  7.2799999999999985  8]
75,0.14912159040589773,0.10836722287887812,0.24408167131420624,[6.300000000000001  8]
76,3.932720717446561,0.022495906101518727,0.12920263618781047,[-6.9  -5.800000000000001  -4.700000000000001  -3.600000000000001  -2.500000000000001  -1.4000000000000008  -0.3000000000000007  0.7999999999999994]
77,4.186710046210758,0.04467411871035923,0.1210504266688166,[-2.0300000000000002  3.9399999999999995  8]
78,4.890769257867941,0.04867212432690404,0.11357449318603166,[-3.87  0.2599999999999998  4.39  8]
79,44.48693403980003,0.006191384097259556,0.032201098017892504,[-5.82  -3.64  -1.46  0.7200000000000002  2.9000000000000004  3.5100000000000002  3.89  5.42]
80,6.3580798358317,0.04307653898247474,0.10404102220546152,[-4.109999999999999  -0.2199999999999993  3.670000000000001  7.5600000000000005  8]
81,0.12203725995451731,0.10383089459678928,0.25356723707587314,[5.74  8]
82,2.840389766835387,0.034826956854258836,0.1396777983442824,[-7.07  -6.140000000000001  -5.210000000000001  -4.280000000000001  -3.350000000000001  -2.420000000000001  -1.4900000000000007  0.4799999999999993]
83,0.08781610563814857,0.09431031223421361,0.2696591113429955,[3.76  4.74  5.720000000000001  6.160000000000001  6.600000000000001  7.040000000000002  7.480000000000002  7.920000000000003]
84,0.1371543491647541,0.08995215920122664,0.25217106591141625,[-7.35  -6.699999999999999  -6.049999999999999  -5.399999999999999  -4.749999999999998  -4.099999999999998  -3.449999999999998  -2.799999999999998]
85,0.2740251203509024,0.11949394364611679,0.21594758419979332,[-7.98  -7.960000000000001  -7.940000000000001  -7.920000000000002  -7.900000000000002  -7.880000000000003  -7.860000000000003  -7.840000000000003]
86,44.21824027119175,0.006481834798392575,0.032380908225938004,[-5.95  -3.9000000000000004  -1.8500000000000005  0.1999999999999993  2.249999999999999  4.299999999999999  8]
87,0.15253512972216746,0.10884511932663593,0.24301915919406594,[6.359999999999999  8]
88,5.6412932510265295,0.04498421565823793,0.10854798137443686,[-3.9299999999999997  0.14000000000000057  4.210000000000001  5.590000000000001  8]
89,0.134152059549929,0.09067861049830155,0.25291166135986587,[-7.61  -7.220000000000001  -6.830000000000001  -6.020000000000001  -5.210000000000001  -4.4  -3.5900000000000003  -2.7800000000000002]
90,5.2328955670203445,0.044530489799386244,0.111792603192433,[-3.7199999999999998  0.5600000000000005  4.840000000000001  5.44  8]
