#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.977648,4,2.324648
-9.987708,5,2.329329
-14.979743,5,2.337329
-14.997948,5,2.345328
-9.997625,3,2.351253
-9.998583,3,2.355252
-14.994156,5,2.360058
-9.975394,3,2.363059
-14.964307,6,2.371058
-9.997523,3,2.374947
-14.997068,6,2.383938
-9.986289,4,2.389288
-9.978701,3,2.393288
-14.959401,4,2.399385
-9.995004,6,2.405384
-14.959078,4,2.412171
-14.980447,4,2.418999
-9.996698,4,2.42256
-14.979942,4,2.428137
-9.997678,3,2.432138
-14.994176,8,2.441228
-9.976658,4,2.448229
-9.977977,3,2.453228
-9.97626,4,2.459347
-9.992994,6,2.467846
-9.9976,5,2.475724
-14.975844,8,2.488372
-9.979054,2,2.491682
-14.991321,5,2.5005
-14.980341,4,2.508066
-9.993183,4,2.515904
-9.976712,5,2.52273
-14.925404,8,2.535148
-9.978584,3,2.540206
-9.995366,4,2.546304
-9.99692,3,2.553306
-14.998839,4,2.557929
-14.980463,4,2.561928
-9.997068,5,2.569928
-9.943782,6,2.576972
-9.978358,3,2.580974
-19.931149,6,2.589492
-9.963281,5,2.598085
-9.989835,5,2.605084
-19.995695,7,2.616084
-9.998244,5,2.623106
-14.996623,7,2.634008
-9.996773,4,2.639344
-14.96213,8,2.651591
-9.977015,4,2.656055
-9.963353,3,2.661064
-9.979985,4,2.666064
-14.974196,5,2.674063
-9.971911,5,2.681198
-14.9597,3,2.686838
-9.949838,5,2.693158
-14.981006,5,2.699336
-9.999003,4,2.703235
-9.997491,5,2.710233
-9.978045,4,2.715286
-14.996867,4,2.720295
-19.956027,7,2.729468
-9.991185,4,2.737342
-9.965703,4,2.742342
-9.981157,3,2.746159
-9.997675,4,2.752166
-9.992639,5,2.759022
-14.959157,4,2.762865
-14.959663,4,2.769462
-9.973517,4,2.773864
-9.955685,4,2.778896
-9.951519,4,2.785656
-9.977797,3,2.789225
-9.974359,4,2.79253
-14.980343,4,2.799607
-14.975139,5,2.804607
-9.997347,4,2.809558
-9.984133,4,2.815922
-9.983708,7,2.82363
-9.978669,3,2.828089
-9.996509,3,2.832295
-9.975669,3,2.836186
-9.994673,5,2.844093
-9.993657,3,2.84909
-9.978454,3,2.852593
-9.975823,5,2.85814
-9.988629,4,2.863139
-9.959332,3,2.866205
-9.978437,3,2.870202
-9.983314,3,2.875201
-9.996268,5,2.881021
-9.997383,5,2.886201
-9.997355,6,2.892176
-9.998579,4,2.896187
-19.93746,7,2.904029
-14.996358,5,2.910967
-19.976263,7,2.920148
-9.998881,3,2.925267
-9.975198,3,2.929162
-9.986961,4,2.935031
-9.978771,4,2.940476
-14.955873,6,2.948104
-9.971257,5,2.954105
-9.996204,3,2.957357
-9.977527,3,2.960453
-9.997397,3,2.964355
-14.9597,3,2.969451
-14.997709,5,2.97545
-9.978637,3,2.97982
-9.985825,4,2.985226
-14.997182,6,2.991678
-9.994869,6,2.999014
-9.971303,6,3.006327
-19.980311,7,3.016328
-9.998187,4,3.020601
-9.967749,5,3.026083
-14.980004,4,3.03124
-9.973158,5,3.03751
-9.986016,5,3.043319
-9.958752,7,3.051396
-14.960893,4,3.056004
-9.97841,3,3.060003
-9.996675,4,3.066202
-9.952734,5,3.073337
-14.996993,4,3.079004
-9.996753,3,3.083518
-0.294555,8,3.214242
-9.974825,6,3.222242
-9.998284,3,3.225384
-14.981865,4,3.231372
-9.990942,4,3.23616
-9.982453,3,3.23995
-9.978465,5,3.24495
-19.980926,6,3.252947
-9.995463,4,3.257095
-14.989252,5,3.262097
-9.98454,3,3.266261
-14.994766,4,3.270261
-9.985201,3,3.273346
-14.983464,5,3.280387
-9.998266,5,3.286955
-9.979054,2,3.289077
-9.998487,3,3.292955
-19.926006,5,3.299091
-14.964865,5,3.303088
