#{"t_start": 1689196358.492115, "env_id": "None"}
r,l,t
-9.999288,2,0.015963
-9.993852,4,0.020057
-9.999142,3,0.024033
-9.997046,4,0.028035
-14.994712,6,0.035266
-9.99595,5,0.042207
-9.999288,2,0.045203
-19.997219,8,0.05419
-9.994928,4,0.057177
-14.990543,4,0.060174
-9.991072,3,0.063175
-9.992699,3,0.067175
-9.999288,2,0.070701
-14.996349,7,0.078712
-14.997814,4,0.084272
-9.989849,4,0.088797
-9.994695,4,0.093799
-14.99184,5,0.098797
9.229032,8,0.238796
-14.988662,4,0.242828
-9.995081,3,0.244829
-9.990246,5,0.24885
-9.991313,4,0.252881
-9.993968,5,0.257914
-9.999253,3,0.259938
-14.979125,8,0.267896
-14.998274,5,0.271933
-9.992345,6,0.27593
-9.991952,3,0.277925
-9.991185,4,0.282931
-9.998955,3,0.284899
-9.986436,5,0.288898
-9.995148,5,0.292931
-9.99416,3,0.294929
-9.999288,2,0.296929
-9.996224,4,0.299912
-9.994703,5,0.303848
-9.990619,3,0.305842
-9.983162,5,0.309845
-9.994092,4,0.312815
-9.992223,6,0.318842
-14.985266,5,0.32285
-9.997155,3,0.324849
-9.994823,5,0.329394
-14.990131,6,0.335158
-9.995229,3,0.337157
-9.997894,3,0.339163
-14.992927,6,0.344192
-14.994443,4,0.347143
-9.993214,5,0.351928
-14.998786,5,0.354927
-9.992905,4,0.358895
-14.991573,5,0.362924
-9.995315,4,0.366894
-14.994277,6,0.371929
-14.99362,6,0.376932
-9.995845,4,0.379926
-9.995473,6,0.384927
-9.994735,3,0.386926
-2.554946,8,0.495004
-9.996757,4,0.499008
-14.997761,4,0.503041
-9.999288,2,0.505004
-9.998622,3,0.507041
-9.99917,3,0.510041
-14.994596,5,0.515005
-9.993456,6,0.520003
-9.999288,2,0.522004
-9.992966,4,0.525006
-14.997482,4,0.529007
-14.993069,5,0.534997
-9.997326,4,0.538027
-9.992197,5,0.540997
-9.990899,3,0.543998
-9.988809,4,0.546996
-9.990516,5,0.551997
-14.998565,3,0.553996
-19.994016,7,0.55803
-14.987763,7,0.562835
-14.986319,8,0.569803
-9.999,3,0.571804
-9.99479,3,0.573804
-14.997876,3,0.576837
-19.991837,6,0.580837
-14.994522,5,0.584837
-14.997587,4,0.587838
-9.992812,5,0.591967
-19.998577,5,0.594964
-9.999757,3,0.596964
-9.996823,5,0.601065
-9.997557,3,0.60385
-9.993355,6,0.60785
-9.997398,4,0.61085
-14.987074,6,0.61485
-9.987382,6,0.619925
-9.994001,4,0.622982
-9.997332,4,0.625932
-14.986606,5,0.628932
-9.993618,4,0.632095
-9.997944,3,0.634152
-9.999127,3,0.637133
-14.996427,6,0.64214
-9.99266,4,0.64413
-9.993365,4,0.64713
-9.999211,4,0.651275
-19.998894,5,0.655275
-14.987173,6,0.659309
-9.999198,3,0.661274
-24.992618,8,0.668791
-9.997326,3,0.671823
-9.994913,5,0.674859
-9.993573,4,0.676861
-9.999288,2,0.678857
-9.994282,4,0.681821
-9.994389,3,0.685011
-9.991217,5,0.687859
-9.999288,2,0.689857
-9.996966,5,0.692857
-24.994714,7,0.699827
-14.993556,5,0.703349
14.824698,8,0.803961
-9.997131,5,0.808993
-14.986958,6,0.812994
-9.993597,5,0.817961
-9.988514,6,0.822962
-9.993759,6,0.826962
-9.986636,5,0.829962
-14.995124,6,0.836006
-14.994352,4,0.840006
-9.996813,3,0.842052
-14.99552,5,0.845006
-14.984405,5,0.848972
-9.994153,5,0.852993
-9.990881,4,0.856011
-14.993521,5,0.860011
-14.996957,4,0.86301
-9.99418,3,0.865011
-9.999422,4,0.870112
-14.998525,4,0.872848
-14.996262,4,0.875848
-14.986742,6,0.880848
-9.993644,4,0.88482
-9.998182,3,0.886847
33.5145,8,0.990211
-9.994365,4,0.99333
-9.990441,3,0.996201
-14.991761,5,1.001226
-9.993564,3,1.003166
-14.995181,5,1.007199
-14.993683,4,1.011075
