#{"t_start": 1689183625.7095232, "env_id": "None"}
r,l,t
-9.978753,3,0.023142
-14.959613,4,0.028154
-14.984061,7,0.037152
-9.984995,4,0.042149
-9.997198,3,0.045153
-9.990471,3,0.051155
-14.979094,6,0.058024
-9.98928,3,0.062028
-9.966097,5,0.071024
-9.986442,3,0.075667
-9.972335,4,0.082331
-14.991416,4,0.085156
-9.993565,3,0.088156
-19.998813,5,0.092228
-9.990839,3,0.098236
-9.980915,5,0.103145
-9.941467,7,0.111755
-19.924408,6,0.119287
-14.996987,6,0.127193
-14.979856,4,0.133185
-14.960273,7,0.138327
-9.978924,4,0.143777
-9.997013,6,0.151292
-14.996892,6,0.15714
-24.994779,7,0.163449
-14.958875,5,0.167965
-12.185218,8,0.289643
-9.991963,3,0.292766
-9.978446,3,0.295232
-9.973102,4,0.298263
-9.975644,6,0.302262
-9.995727,5,0.306258
-14.962519,5,0.311481
-9.946858,6,0.316
-14.99439,5,0.320036
-9.979054,2,0.322031
-14.977629,6,0.327032
-14.9978,5,0.331
-14.979136,8,0.336146
-9.997492,4,0.3392
-9.971122,5,0.343149
-14.990729,6,0.348148
-9.99178,5,0.352145
-9.971737,6,0.357145
-9.9956,4,0.359143
-9.978856,4,0.362184
-9.974819,6,0.366729
-9.978414,3,0.368729
-9.997473,3,0.371697
-14.98506,7,0.37623
-9.974649,3,0.378829
-9.968018,6,0.383327
-9.980771,5,0.387328
-14.997979,4,0.390358
-9.997216,4,0.392362
-9.997953,4,0.395327
-9.983925,5,0.399358
-9.959273,4,0.403239
-14.969895,6,0.406962
-9.974036,3,0.408962
-9.991261,4,0.410963
-9.977453,3,0.414626
-14.945314,5,0.419656
-14.980029,4,0.421655
-9.951088,5,0.425657
-9.978989,3,0.427657
-9.979512,4,0.431075
-9.978745,5,0.435223
-9.973378,5,0.439221
-9.996005,6,0.443191
-9.997795,4,0.447036
-1.216393,8,0.547741
-9.997052,6,0.55174
-14.968825,7,0.557742
-9.977805,4,0.560771
-19.931711,7,0.565469
-9.978833,3,0.56747
-9.979054,2,0.56947
-14.984331,6,0.574087
-14.996555,7,0.579087
-9.983903,4,0.582124
-9.980922,4,0.585121
-14.998276,6,0.590106
-9.986732,3,0.592119
-9.974396,4,0.595731
-14.998768,4,0.599094
-9.98733,5,0.602112
-14.99707,4,0.606137
-9.981866,7,0.610136
-14.958603,5,0.614222
-9.974958,3,0.616132
