#{"t_start": 1689192164.2901304, "env_id": "None"}
r,l,t
-19.994692,8,1.739552
-9.997555,5,1.745702
-9.996994,4,1.752251
-9.999081,3,1.756166
-9.997641,3,1.761732
-9.98863,4,1.766716
-9.99717,3,1.771716
-9.987627,5,1.779784
-9.998862,3,1.786879
-14.991799,5,1.800081
-9.993431,5,1.810823
-9.993916,6,1.823823
-9.99453,3,1.830349
-9.986486,6,1.840822
-9.989337,5,1.848774
-14.988655,5,1.856138
-9.994832,4,1.862917
-14.997876,3,1.868815
-14.998977,5,1.876949
-19.992376,6,1.885165
-14.997091,4,1.891034
-9.998422,5,1.900033
-9.983396,7,1.912735
-9.993348,3,1.918402
-9.988575,5,1.924258
-9.992561,5,1.932945
-9.993903,3,1.937692
-14.998611,6,1.946694
-9.989687,6,1.954694
-9.994156,3,1.960694
-14.986865,5,1.969193
-9.990239,4,1.977193
-14.997633,4,1.984192
-9.99326,4,1.988714
-14.992126,4,1.996716
-9.999256,3,2.001716
-9.99603,5,2.009803
-9.996095,3,2.015802
-9.991783,6,2.028806
-9.999062,4,2.035879
-9.990976,6,2.047869
-14.982934,5,2.056254
7.117792,8,2.235462
-9.994721,5,2.243993
-9.997737,4,2.249894
-14.996369,5,2.257892
-9.99382,4,2.26489
-9.993521,4,2.269187
-9.991734,4,2.276408
-14.98293,5,2.284106
-14.992093,5,2.293465
-9.996688,3,2.299226
-14.984979,5,2.308769
-9.988504,4,2.314768
-9.994565,5,2.323766
-9.993127,4,2.330917
-14.993887,5,2.337745
-9.993042,4,2.340746
-9.999186,3,2.346747
-9.989979,4,2.352747
-9.99576,3,2.356221
-9.98441,8,2.367068
-9.999288,2,2.371068
-9.991164,5,2.380219
-14.988102,6,2.386218
-9.997172,3,2.38997
-9.987772,6,2.399967
-14.997385,4,2.40297
-9.993546,3,2.40597
-9.99499,3,2.41197
-9.997752,4,2.418494
-9.999185,3,2.424495
-14.991918,6,2.432082
-9.993876,4,2.436083
-9.999288,2,2.439019
-9.990037,4,2.445114
-9.994079,6,2.451548
-9.994882,4,2.455549
-9.99761,3,2.459922
-9.986165,5,2.466176
-9.989499,5,2.471787
-9.994495,5,2.479815
-9.996201,4,2.483819
-9.994164,3,2.488817
-9.996074,5,2.497909
-9.998039,6,2.504909
-9.995081,3,2.50891
-14.990385,4,2.513907
-14.998565,3,2.516993
-9.991293,4,2.521992
-9.992507,5,2.528241
-9.99533,4,2.532037
-9.989982,5,2.539037
-9.991398,3,2.542034
-9.995555,4,2.546714
-14.992012,4,2.553287
-9.993356,4,2.557767
-14.989545,5,2.562771
-14.997801,4,2.56771
-9.995453,3,2.570708
-9.994683,3,2.573708
-9.987231,8,2.583843
-14.991096,4,2.589154
-9.982273,5,2.595153
-9.994397,3,2.599599
-9.996014,3,2.602153
-9.999154,3,2.605153
-9.989875,7,2.612997
-14.990583,5,2.617998
-9.994164,3,2.620994
-14.98822,6,2.628198
-24.982232,7,2.635188
-14.991413,6,2.640186
-19.995249,7,2.651013
-9.995089,5,2.658008
-9.994955,4,2.663853
-14.990147,6,2.669023
-14.986714,5,2.676399
-14.995736,4,2.680918
-9.988143,6,2.685917
-9.997612,3,2.691959
-19.996516,5,2.697827
-24.992114,7,2.703888
-9.996764,3,2.708204
-14.983916,7,2.714204
-9.999288,2,2.717067
-14.994403,6,2.724077
-9.989684,4,2.727759
-9.998987,3,2.730764
-19.990936,6,2.735836
-14.991475,6,2.742954
-9.993628,3,2.745906
-9.977297,8,2.753897
-14.99374,5,2.757896
-14.997876,3,2.761534
-19.983204,5,2.764898
-9.991893,4,2.768894
-9.99634,3,2.771898
-9.994426,4,2.774898
-9.991362,7,2.782688
-19.995365,6,2.789879
-9.997403,3,2.79302
16.693226,8,2.921768
-14.997875,5,2.927048
-9.991792,5,2.931769
-14.989789,6,2.936854
-14.990996,6,2.944998
-9.993953,4,2.948776
-9.987214,5,2.953777
-9.989885,4,2.957785
-9.994203,4,2.962783
-14.990554,6,2.967872
-9.990944,4,2.972783
-9.983271,4,2.977822
-14.993559,4,2.981735
-9.996033,4,2.986685
-19.992005,7,2.99369
-14.984033,7,3.001833
-9.992276,3,3.003689
-9.991628,4,3.007799
-9.981323,7,3.015688
-14.981458,6,3.021687
-9.999288,2,3.023689
-24.989312,8,3.033985
-9.992259,3,3.038189
-9.992764,4,3.042004
-19.987326,7,3.049981
-9.994969,5,3.054983
-14.983064,5,3.058988
-14.998083,5,3.06683
-3.353079,8,3.196284
-14.990595,7,3.203874
-9.993706,4,3.207876
-14.983139,5,3.213876
-9.996144,6,3.219861
-14.993437,5,3.22386
-14.979741,5,3.231915
-14.993747,6,3.237292
-14.98668,6,3.243263
-9.997369,3,3.248152
-9.99444,4,3.251154
-9.997888,3,3.254153
-9.999097,4,3.258052
-9.991648,7,3.267092
-24.994036,6,3.271887
-9.983488,5,3.277888
-9.997779,4,3.282384
-14.98533,5,3.286887
-9.991982,4,3.290887
-9.9885,5,3.298403
-9.992351,6,3.303405
-9.99419,4,3.307982
-14.997075,5,3.313979
-9.997272,3,3.316677
-9.994272,4,3.320132
-9.988308,5,3.327857
-9.990112,5,3.331856
-24.995118,7,5.312096
-9.995978,4,5.316094
-19.991209,7,5.321593
-9.983953,4,5.324593
-9.999288,2,5.32755
-9.996827,5,5.33205
-9.985873,5,5.336049
-14.989545,5,5.341615
-14.991461,5,5.349547
-14.996794,4,5.354548
-19.997864,4,5.360626
-9.993582,5,5.365154
-19.979254,8,5.374664
-9.999248,3,5.378274
-9.994467,3,5.380794
-9.994822,3,5.382802
-9.994331,3,5.385801
-9.99889,3,5.38887
-14.988384,7,5.397848
-9.999255,3,5.401375
-14.994224,5,5.407374
-9.999509,2,5.411376
-9.999288,2,5.413388
-14.996232,5,5.418051
-9.99433,5,5.424048
-9.997131,4,5.429524
-9.997391,4,5.434525
-14.987888,7,5.443485
-14.992566,5,5.449025
-9.986035,4,5.454026
-14.995589,5,5.459028
-9.998385,4,5.463025
-9.989537,6,5.470201
-9.990789,4,5.475077
-9.994707,4,5.480028
-14.994409,5,5.486027
-9.999288,2,5.488028
-14.992542,4,5.49303
-9.99495,3,5.49701
-9.98991,5,5.502017
-9.996957,6,5.507018
-9.997455,3,5.511016
-9.994996,4,5.515018
-9.99436,3,5.517746
-14.995977,5,5.520745
-9.9924,4,5.523746
-9.992186,5,5.527622
-9.998871,3,5.531697
-14.996594,5,5.534618
-9.993353,4,5.538021
-9.98577,4,5.541019
-9.993068,6,5.547023
-9.999288,2,5.54902
-19.994171,6,5.553021
-9.993506,4,5.55602
-9.993573,4,5.55909
-14.99418,4,5.563022
-14.99692,6,5.567022
-9.994906,3,5.570021
-9.993888,3,5.572022
-9.99331,6,5.578099
-14.986529,5,5.582095
-14.981791,5,5.586095
-9.99729,4,5.588097
-9.98898,4,5.591095
-9.994846,3,5.595881
-14.988696,5,5.600888
-9.994372,4,5.604501
-9.993052,4,5.607108
-9.99876,4,5.611892
1.804844,8,5.728832
-9.995647,3,5.731756
-9.99445,4,5.735758
-14.992803,5,5.739759
-9.99051,5,5.743754
-14.990904,6,5.749811
-9.998424,3,5.752059
-14.980907,6,5.755813
-9.99152,4,5.758985
-9.998888,3,5.761815
-19.982029,8,5.767812
-14.982679,4,5.770811
-9.997259,5,5.773813
-9.98446,6,5.780152
-9.995899,7,5.785848
-9.999103,3,5.78885
-9.997226,4,5.790847
-19.982289,6,5.7972
-9.997912,4,5.800233
-9.995376,5,5.804233
-14.997876,3,5.806234
-9.995537,4,5.811681
-9.996691,3,5.814201
-9.999288,2,5.815201
-9.996376,4,5.818201
-9.994626,3,5.821201
-9.993011,4,5.823201
-9.995549,3,5.827964
-9.996486,3,5.829962
-9.994718,3,5.831962
-14.997957,6,5.835963
-9.983511,5,5.840023
-9.996509,4,5.845927
-9.998625,3,5.847961
-24.994408,8,5.852962
-9.993107,4,5.856771
-19.993749,5,5.861848
-9.997536,4,5.864427
-9.995849,3,5.866427
-14.986641,5,5.869427
-9.997748,4,5.873397
-9.997893,3,5.875396
-9.990606,5,5.87943
-9.989339,6,5.883428
-9.994916,3,5.88711
-9.99083,4,5.890065
-9.993519,4,5.892065
-9.997722,4,5.896097
-14.993768,7,5.901217
-9.988869,5,5.906096
-19.989677,7,5.912097
-14.980171,5,5.9151
-9.994155,4,5.919097
-14.993471,5,5.922095
-9.995245,3,5.9241
-9.998333,3,5.92677
-9.993982,4,5.930098
-9.992501,4,5.933177
-9.999288,2,5.935063
-14.985962,7,5.93918
-9.986282,4,5.94226
-14.994502,4,5.946175
